position_id,strategy_id,side,evento,reason_name,t_epoch,precio_real,delta_precio_open,delta_t_open_s,spread_open,spread_close,lado,n_ticks_segundo,hit_exacto_segundo,dentro_rango_segundo,dist_min_segundo,q_min_segundo,q_max_segundo,hit_exacto_segundo_lado_opuesto,q_vigente,hit_exacto_vigente,delta_vigente,spread_tick_vigente,n_ticks_1,hit_exacto_1,dentro_rango_1,dist_min_1,n_ticks_2,hit_exacto_2,dentro_rango_2,dist_min_2,n_ticks_5,hit_exacto_5,dentro_rango_5,dist_min_5,n_ticks_30,hit_exacto_30,dentro_rango_30,dist_min_30
55244860,SAR::S6-K2P0,SELL,CLOSE,SL,1785464666,4083.6,,,0.5,,ask,18,False,True,0.03000000000020009,4083.42,4083.93,False,4083.45,False,0.15000000000009095,0.5,35,False,True,0.03000000000020009,51,False,True,0.03000000000020009,84,False,True,0.03000000000020009,374,True,True,0.0
55244871,SAR::S6-K2P0,SELL,OPEN,,1785464747,4082.12,0.0,0.2300000190734863,0.5,,bid,2,True,True,0.0,4082.12,4082.14,False,4082.12,True,0.0,0.5,5,True,True,0.0,8,True,True,0.0,54,True,True,0.0,340,True,True,0.0
55244871,SAR::S6-K2P0,SELL,CLOSE,SL,1785464815,4083.6,,,0.5,,ask,8,False,True,0.009999999999763531,4083.5,4083.86,False,4083.42,False,0.1799999999998363,0.5,13,False,True,0.009999999999763531,23,False,True,0.009999999999763531,60,False,True,0.009999999999763531,412,False,True,0.009999999999763531
55244898,SAR::S6-K2P0,SELL,OPEN,,1785465907,4077.07,0.0399999999999636,0.0,0.5,,bid,14,True,True,0.0,4077.03,4077.16,False,4076.96,False,0.11000000000012733,0.5,26,True,True,0.0,47,True,True,0.0,115,True,True,0.0,502,True,True,0.0
55244898,SAR::S6-K2P0,SELL,CLOSE,CLIENT_manual,1785473356,4060.93,,,0.5,,ask,7,True,True,0.0,4060.92,4061.03,False,4060.95,False,-0.01999999999998181,0.599999999999909,12,True,True,0.0,24,True,True,0.0,38,True,True,0.0,225,True,True,0.0
55256241,SuperTrend::SuperTrend-p14x3-M15,BUY,OPEN,,1785696303,4067.19,-11.029999999999744,179395.71005296707,0.5,,ask,1,False,False,0.03000000000020009,4067.16,4067.16,False,4067.19,True,0.0,0.5,7,True,True,0.0,14,True,True,0.0,32,True,True,0.0,93,True,True,0.0
55256241,SuperTrend::SuperTrend-p14x3-M15,BUY,CLOSE,SL,1785704419,4051.99,,,0.5,,bid,18,False,True,0.020000000000436557,4051.7,4052.35,False,4052.4,False,-0.41000000000030923,0.5,34,False,True,0.020000000000436557,59,False,True,0.020000000000436557,147,False,True,0.020000000000436557,829,False,True,0.020000000000436557
55257317,SuperTrend::SuperTrend-p14x3-M15,BUY,OPEN,,1785704431,4054.22,0.6999999999998181,1.0,0.5,,ask,20,True,True,0.0,4053.77,4054.97,False,4053.62,False,0.599999999999909,0.5,31,True,True,0.0,58,True,True,0.0,145,True,True,0.0,899,True,True,0.0
55257317,SuperTrend::SuperTrend-p14x3-M15,BUY,CLOSE,SL,1785705273,4051.99,,,0.5,,bid,7,False,True,0.08000000000038199,4051.71,4052.32,False,4052.33,False,-0.3400000000001455,0.5,20,False,True,0.08000000000038199,40,False,True,0.08000000000038199,86,False,True,0.08000000000038199,521,True,True,0.0
55257490,SuperTrend::SuperTrend-p14x3-M15,BUY,OPEN,,1785705307,4052.79,0.2100000000000363,17.230000019073486,0.5,,ask,6,True,True,0.0,4052.74,4053.12,False,4052.73,False,0.05999999999994543,0.5,12,True,True,0.0,27,True,True,0.0,68,True,True,0.0,546,True,True,0.0
55257490,SuperTrend::SuperTrend-p14x3-M15,BUY,CLOSE,SL,1785705351,4051.99,,,0.5,,bid,8,False,True,0.01999999999998181,4051.81,4052.18,False,4052.14,False,-0.15000000000009095,0.5,23,False,True,0.01999999999998181,45,False,True,0.01999999999998181,78,False,True,0.01999999999998181,574,False,True,0.01999999999998181
55257594,SuperTrend::SuperTrend-p14x3-M15,BUY,OPEN,,1785705857,4052.8,-1.1899999999995998,-14.769999980926514,0.5,,ask,7,True,True,0.0,4052.78,4053.17,False,4052.8,True,0.0,0.5,10,True,True,0.0,19,True,True,0.0,45,True,True,0.0,359,True,True,0.0
55257594,SuperTrend::SuperTrend-p14x3-M15,BUY,CLOSE,SL,1785706262,4051.99,,,0.5,,bid,11,False,True,0.020000000000436557,4051.33,4052.06,False,4052.13,False,-0.14000000000032742,0.5,23,False,True,0.020000000000436557,44,False,True,0.020000000000436557,85,False,True,0.009999999999763531,507,True,True,0.0
55257869,SuperTrend::SuperTrend-p14x3-M15,BUY,OPEN,,1785706421,4052.59,0.0799999999999272,1.2300000190734863,0.5,,ask,1,True,True,0.0,4052.59,4052.59,False,4052.58,False,0.010000000000218279,0.5,7,True,True,0.0,26,True,True,0.0,49,True,True,0.0,428,True,True,0.0
55257869,SuperTrend::SuperTrend-p14x3-M15,BUY,CLOSE,SL,1785706442,4051.99,,,0.5,,bid,16,False,True,0.13000000000010914,4051.83,4052.72,False,4052.41,False,-0.42000000000007276,0.5,23,False,True,0.13000000000010914,51,False,True,0.10999999999967258,104,False,True,0.10999999999967258,446,True,True,0.0
55257873,SuperTrend::SuperTrend-p14x3-M15,BUY,OPEN,,1785706469,4052.98,-0.1399999999998726,2.0,0.5,,ask,6,False,False,0.010000000000218279,4052.84,4052.97,False,4052.98,True,0.0,0.5,17,True,True,0.0,30,True,True,0.0,66,True,True,0.0,422,True,True,0.0
55257873,SuperTrend::SuperTrend-p14x3-M15,BUY,CLOSE,SL,1785706877,4051.98,,,0.5,,bid,7,True,True,0.0,4051.77,4052.13,False,4052.05,False,-0.07000000000016371,0.5,14,True,True,0.0,32,True,True,0.0,74,True,True,0.0,442,True,True,0.0
55258160,SuperTrend::SuperTrend-p14x3-M15,SELL,OPEN,,1785707112,4050.99,0.099999999999909,1.2300000190734863,0.5,,bid,3,True,True,0.0,4050.98,4051.02,False,4050.86,False,0.1299999999996544,0.5,7,True,True,0.0,17,True,True,0.0,69,True,True,0.0,363,True,True,0.0
55258160,SuperTrend::SuperTrend-p14x3-M15,SELL,CLOSE,CLIENT_manual,1785754240,4036.88,,,0.5,,ask,8,True,True,0.0,4036.87,4036.97,False,4036.88,True,0.0,0.599999999999909,14,True,True,0.0,29,True,True,0.0,66,True,True,0.0,414,True,True,0.0
55258358,SAR::S6-K2P0,SELL,OPEN,,1785708904,4054.97,-0.4700000000002546,0.0,0.5,0.5,bid,11,True,True,0.0,4054.97,4055.44,False,4055.44,False,-0.47000000000025466,0.5,18,True,True,0.0,37,True,True,0.0,67,True,True,0.0,373,True,True,0.0
55258358,SAR::S6-K2P0,SELL,CLOSE,EXPERT,1785711607,4062.55,,,0.5,0.5,ask,3,False,False,0.010000000000218279,4062.4,4062.54,False,4062.55,True,0.0,0.5,4,True,True,0.0,13,True,True,0.0,60,True,True,0.0,296,True,True,0.0
55258981,SAR::S6-K2P0,BUY,OPEN,,1785712504,4064.82,0.0,0.0,0.5,,ask,8,True,True,0.0,4064.77,4064.86,False,4064.83,False,-0.009999999999763531,0.5,12,True,True,0.0,24,True,True,0.0,54,True,True,0.0,269,True,True,0.0
55258981,SAR::S6-K2P0,BUY,CLOSE,SL,1785719510,4057.42,,,0.5,,bid,7,False,True,0.07000000000016371,4057.23,4058.53,False,4058.47,False,-1.0499999999997272,0.5,13,False,True,0.07000000000016371,32,False,True,0.0500000000001819,51,False,True,0.0500000000001819,230,False,True,0.0500000000001819
55259428,SAR::S6-K2P0,BUY,OPEN,,1785719602,4058.1,0.0199999999999818,0.2300000190734863,0.5,,ask,2,True,True,0.0,4058.08,4058.1,False,4058.1,True,0.0,0.5,8,True,True,0.0,14,True,True,0.0,38,True,True,0.0,214,True,True,0.0
55259428,SAR::S6-K2P0,BUY,CLOSE,SL,1785719612,4057.1,,,0.5,,bid,7,False,False,0.05999999999994543,4056.93,4057.04,False,4057.17,False,-0.07000000000016371,0.5,9,False,True,0.05999999999994543,12,False,True,0.05999999999994543,31,False,True,0.01999999999998181,225,True,True,0.0
55259439,SAR::S6-K2P0,SELL,OPEN,,1785719728,4056.86,0.0100000000002182,0.2300000190734863,0.5,,bid,3,True,True,0.0,4056.84,4056.86,False,4056.85,False,0.010000000000218279,0.5,6,True,True,0.0,11,True,True,0.0,32,True,True,0.0,221,True,True,0.0
55259439,SAR::S6-K2P0,SELL,CLOSE,SL,1785720057,4057.78,,,0.5,,ask,4,False,True,0.03999999999996362,4057.72,4057.84,False,4057.7,False,0.08000000000038199,0.5,11,False,True,0.03999999999996362,21,False,True,0.03999999999996362,52,True,True,0.0,262,True,True,0.0
55259463,SAR::S6-K2P0,SELL,OPEN,,1785720059,4057.28,0.0,0.0,0.5,,bid,6,True,True,0.0,4057.28,4057.32,False,4057.23,False,0.0500000000001819,0.5,12,True,True,0.0,24,True,True,0.0,51,True,True,0.0,268,True,True,0.0
55259463,SAR::S6-K2P0,SELL,CLOSE,EXPERT,1785720075,4057.87,,,0.5,,ask,10,True,True,0.0,4057.87,4058.11,False,4057.77,False,0.09999999999990905,0.5,15,True,True,0.0,22,True,True,0.0,54,True,True,0.0,246,True,True,0.0
55259465,SAR::S6-K2P0,SELL,OPEN,,1785720123,4057.24,0.1499999999996362,16.0,0.5,,bid,0,False,False,,,,False,4057.24,True,0.0,0.5,0,False,False,,6,True,True,0.0,16,True,True,0.0,170,True,True,0.0
