R1,arm,band,entry_bid,entry_delay_bars,entry_fill,exit_bid,exit_fill,ficha,level_slip,margin1,net1,net1_con_coste,pos_id,reason,same_bar,sid,side,side_l,spread,t_exit,t_in,t_in_exec,t_out
2672771.000000082,relief0.00-u0,0.5,4965.11,0,4965.11,4965.57,4966.07,F2,False,4649825.515,-89904.0000000034,-110975.2500000034,S6-K2P0|F2|1771450200|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771452900,1771450200,1771451100.0,1771452000
2672771.000000082,relief0.00-u0,0.5,4965.11,0,4965.11,4965.57,4966.07,F3,False,4649825.515,-89904.0000000034,-110975.2500000034,S6-K2P0|F3|1771450200|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771452900,1771450200,1771451100.0,1771452000
1781222.9999999558,relief0.00-u0,0.5,4968.04,0,4968.04,4976.98,4977.48,F1,False,4652569.46,-884055.9999999625,-905127.2499999625,S6-K2P0|F1|1771458300|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771461900,1771458300,1771459200.0,1771461000
1781222.9999999558,relief0.00-u0,0.5,4968.04,0,4968.04,4976.98,4977.48,F2,False,4652569.46,-884055.9999999625,-905127.2499999625,S6-K2P0|F2|1771458300|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771461900,1771458300,1771459200.0,1771461000
1781222.9999999558,relief0.00-u0,0.5,4968.04,0,4968.04,4976.98,4977.48,F3,False,4652569.46,-884055.9999999625,-905127.2499999625,S6-K2P0|F3|1771458300|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771461900,1771458300,1771459200.0,1771461000
4799562.500000085,relief0.00-u0,0.5,4987.46,0,4987.46,4993.99,4994.49,F1,False,4670756.29,-658359.4999999761,-679430.7499999761,S6-K2P0|F1|1771533900|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771537500,1771533900,1771534800.0,1771536600
4799562.500000085,relief0.00-u0,0.5,4987.46,0,4987.46,4993.99,4994.49,F2,False,4670756.29,-658359.4999999761,-679430.7499999761,S6-K2P0|F2|1771533900|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771537500,1771533900,1771534800.0,1771536600
4799562.500000085,relief0.00-u0,0.5,4987.46,0,4987.46,4993.99,4994.49,F3,False,4670756.29,-658359.4999999761,-679430.7499999761,S6-K2P0|F3|1771533900|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771537500,1771533900,1771534800.0,1771536600
4331312.50000017,relief0.00-u0,0.5,5006.38,0,5006.9,4995.465181253914,4995.42,F1,True,4688961.85,-1075101.999999959,-1096173.249999959,S6-K2P0|F1|1771537500|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1771540678.728,1771537500,1771538400.0,1771540200
4331312.50000017,relief0.00-u0,0.5,5006.38,0,5006.9,4995.465181253914,4995.42,F2,True,4688961.85,-1075101.999999959,-1096173.249999959,S6-K2P0|F2|1771537500|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1771540678.728,1771537500,1771538400.0,1771540200
4331312.50000017,relief0.00-u0,0.5,5006.38,0,5006.9,4995.465181253914,4995.42,F3,True,4688961.85,-1075101.999999959,-1096173.249999959,S6-K2P0|F3|1771537500|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1771540678.728,1771537500,1771538400.0,1771540200
4414660.999999776,relief0.00-u0,0.5,4996.64,0,4996.6,4996.03,4996.53,F1,False,4679315.9,6555.500000057918,-14515.749999942082,S6-K2P0|F1|1771542000|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771545600,1771542000,1771542900.0,1771544700
4414660.999999776,relief0.00-u0,0.5,4996.64,0,4996.6,4996.03,4996.53,F2,False,4679315.9,6555.500000057918,-14515.749999942082,S6-K2P0|F2|1771542000|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771545600,1771542000,1771542900.0,1771544700
4414660.999999776,relief0.00-u0,0.5,4996.64,0,4996.6,4996.03,4996.53,F3,False,4679315.9,6555.500000057918,-14515.749999942082,S6-K2P0|F3|1771542000|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771545600,1771542000,1771542900.0,1771544700
1902967.9999998875,relief0.00-u0,0.5,4996.03,0,4996.03,4994.18,4994.68,F1,False,4678782.095,126427.4999999489,105356.2499999489,S6-K2P0|F1|1771544700|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771546500,1771544700,1771545600.0,1771545600
1902967.9999998875,relief0.00-u0,0.5,4996.03,0,4996.03,4994.18,4994.68,F2,False,4678782.095,126427.4999999489,105356.2499999489,S6-K2P0|F2|1771544700|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771546500,1771544700,1771545600.0,1771545600
1902967.9999998875,relief0.00-u0,0.5,4996.03,0,4996.03,4994.18,4994.68,F3,False,4678782.095,126427.4999999489,105356.2499999489,S6-K2P0|F3|1771544700|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771546500,1771544700,1771545600.0,1771545600
